Name of the Company,Address,Phone,Business Types
Edifice Couture Pvt. Ltd. A Unit Of The Divine International Inc.,"Address: Showroom -10, Aadarsh Colony, Sanoli Road, Panipat - 132104, Opposite Lahu Wala Gurudwara","Phone: 1804079718, +918950224288, +918950024288",Verified: Yes
Nand International,"Address: 18/20 Rishi Colony, Sanoli Road, Panipat HO, Panipat - 132103, Near Devendra Vaishno Bhojnalay & Opposite Ganesh Mandir","Phone: +918572072788, +919896388965",Verified: Yes
Shivalik Furnishing,"Address: Plot No-80, Sector-25, HUDA, Part-1, G T Road, Panipat Gt Road, Panipat - 132103, Opposite Khadi Ashram",Phone: +919152453623,Verified: Yes
Nand International,"Address: Sanoli Road, Panipat City, Panipat - 132103, Opp. Guru Nanak Engineering Chandni Bagh",Phone: +919152692167,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Blanket Wholesalers"
Bahubali Woollen Mills,"Address: Kabri Road Pacca Fatak, Panipat City, Panipat - 132103, Opp. Kalu Peer Street","Phone: 1802652472, +919896052472, +919896040263","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Blanket Wholesalers"
Mohak Woollens Pvt Ltd,"Address: Mohak Woollen, Sector-29 HUDA Part-II, HUDA Sector 29, Panipat - 132103, Near Sarla Export,Flora Chowk","Phone: 1802671004, +919996200004","Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Mink Blanket Manufacturers"
Shiv Shakti Loomtex Pvt Ltd,"Address: 21/7 Shiv Shakti Loomtex, S D College Road, Panipat City, Panipat - 132103, Opposite Punjab National Bank Street","Phone: 1804022023, +918950895895, +919896052424","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers"
Grover Tex Prints Pvt Ltd,"Address: 809/7, S.D. College Road, Panipat City, Panipat - 132103, Near Amar Bhawan Chowk","Phone: 1802694890, +919671300004, +919215616230, +919671300015","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Curtain Manufacturers"
Arch Fab,"Address: Plot No-138, Sector-25 HUDA Part-II, Panipat City, Panipat - 132103, Near-Sale Tax Office",Phone: +919152334616,"Tags: Bed Sheet Manufacturers, Blanket Manufacturers, Blanket Wholesalers"
Daya Handloom Pvt Ltd,"Address: Shop Number 412 Ward Number 7, Amar Bhawan Chowk, Panipat HO, Panipat - 132103, Near Shree Ram Mandir Street",Phone: +919812590890,"Tags: Bed Sheet Manufacturers, Bed Sheet Retailers, Bed Sheet Wholesalers"
Decor Street,"Address: Hari-om Nagar, Babail Road, Babail, Panipat - 132103","Phone: +917206891600, 8295160579, 9416316480","Tags: Bed Sheet Manufacturers, Door MAT Manufacturers"
Riviera Home Furnishing Pvt Ltd,"Address: Plot No-237, Panipat Gt Road, Panipat - 132103, Part-2, Sector-29","Phone: 1802661288, 1802664801, 1802672222, 1804091200, 1806621200","Tags: Bath MAT Manufacturers, Bed Sheet Manufacturers, Home Furnishing Manufacturers"
Guru Kirpa Handloom,"Address: 2, Sanoli Road, Babail, Panipat - 132103, Old Subzi Mandi Aman Dairy","Phone: 1804005957, +918607555556, +919034399022","Tags: Bed Sheet Manufacturers, Blanket Wholesalers"
Panipat Furnishings,"Address: #430, Sec-12, Huda, Panipat, Haryana, panipat - 132103",Phone: +919050400813,"Tags: Bed Sheet Manufacturers, Blanket Dealers, Blanket Manufacturers"
Satya Textile,"Address: Shop No.413, Kuttani Road, Kutani Road, Panipat - 132103, Opposite Jangra Market Street","Phone: +919812627341, 9812627361","Tags: Bed Sheet Manufacturers, Bed Sheet Wholesalers, Handloom Wholesalers"
Mauli Group,"Address: P No-97/98, Panipat Sector 25 Part 2, Panipat - 132103, Sec-25,Part-2,Indl Area Huda","Phone: 1803200074, 1803291447, 1804002847, +919416740000, +919729074000","Tags: Bed Sheet Manufacturers, Curtain Manufacturers, Sofa Cover Dealers"
Tima Gurunanak Handloom Pvt Ltd,"Address: Behind Gaushalla Mandi, Gurunanak Lane, Panipat City, Panipat - 132103, Near Vishav Karma Mandir( Gohana Road)",Phone: +919152447882,"Tags: Bed Sheet Manufacturers, Blanket Dealers, Blanket Manufacturers"
